Count,Name,Position X,Position Y,Position Z,Rotation
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,48.0000,1332.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,2004.0000,2208.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,2136.0000,2208.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,2004.0000,2064.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,2136.0000,2064.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,2004.0000,2316.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,2136.0000,2460.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,3936.0000,2928.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,2136.0000,2316.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,2004.0000,2460.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,1752.0000,-156.0000,120.0000,0
